Quantification Ion	Retention Index	Name	units	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332157	a332161	a332165	a332169	a332173	a332181	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332217	a332221	a332225	a332229	a332233	a332237	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332353	a332361	a332365	a332369	a332373	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332409	a332413	a332417	a332421	a332429	a332437	a332445	a332449	a332457	a332461	a332469	a332477	a332481	a332485	a332489	a332493	a332497	a332501	a332505	a332509	a332513	a332525	a332529	a332533	a332537	a332541	a332545	a332549	a332553	a332557	a332561	a332565	a332569	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332605	a332609	a332613	a332617	a332625	a332629	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332661	a332665	a332669	a332673	a332677	a332685
*285*	634543	myristic acid	peak area	2197	1965	1473	4743	2840	2593	2821	1250	1058	1014	1038	893	604	1769	1456	2353	1905	2097	2217	3371	610	705	1143	478	541	1710	1794	1062	729	1424	2889	3643	2588	1037	1329	1180	1561	1156	917	438	1606	3271	4185	5382	3140	2753	1831	755	1421	533	663	2509	3539	803	3012	4650	2928	2123	2019	834	1523	895	748	943	1507	1022	3908	1183	1695	1531	2433	557	650	954	754	633	1896	1228	2786	2215	1817	906	768	675	801	1100	947	2738	1674	3700	3349	4201	2567	454	2197	858	945	1202	977	2498	2745	2850	2756	2487	2884	3070	562	1465	807	955	889	1237	2604	3036	1867	1561	4924	5343	2199	892	708	436	737	668	1131
*233*	462908	malate	peak area	2466	26836	22353	9674	24563	15999	9876	3642	1318	538	2323	1778	180	442	1347	3582	1728	2318	3792	436	374	341	1453	1085	622	1315	834	3866	8026	5873	3272	2124	790	139	250	101	333	324	177	128	1468	2431	4862	6221	5039	3093	334	179	1219	95	687	5677	3253	790	4633	19438	16601	3682	11496	5479	1828	3298	3560	1347	2120	6910	315	1958	2237	1977	3135	3272	9295	2047	6192	2331	2765	1881	2442	3125	1480	596	1011	917	1451	1368	924	571	428	460	638	387	245	90	631	1108	1175	152	255	6805	17397	26932	16978	12648	12835	7322	2641	10421	3097	5731	3493	3749	1049	3293	211	2781	3876	1486	1174	5369	11656	3723	2816	5730	6636
*156*	663088	lysine	peak area	73	221	133	2821	159	116	207	10930	13343	8334	6503	2002	466	200	114	78	28	104	123	130	1123	208	85	341	218	2253	83	14	33	58	66	109	133	9782	3434	8983	9277	972	8443	4568	32	23	170	93	67	77	32	2122	7251	18	2401	426	101	915	630	123	110	192	51	12318	7885	4754	17435	7674	2543	7377	206	181	127	96	170	2144	627	1949	1714	2079	56	26	365	138	105	6619	313	11995	9257	9599	5020	242	41	96	72	194	99	95	5725	764	138	2661	22	93	99	219	183	78	84	89	8723	19352	11773	12031	8121	7929	63	237	83	103	112	62	48	2108	3326	50	1163	449	2898
*337*	777102	linoleic acid	peak area	268	234	176	361	380	436	434	57	85	22	97	51	19	202	358	240	657	339	785	311	41	125	240	42	27	233	185	128	146	288	392	285	228	31	40	63	90	34	128	41	127	328	316	659	359	449	361	32	86	42	28	271	420	98	213	340	322	198	175	106	155	46	63	51	115	61	365	133	152	239	197	55	36	59	57	95	212	115	326	221	278	43	45	51	76	62	53	286	323	358	579	358	299	66	179	55	67	54	138	163	204	193	322	245	291	284	56	141	26	88	52	130	213	171	241	185	199	393	189	27	57	42	184	25	68
*117*	547810	lauric acid	peak area	25075	51830	21930	31367	29023	37517	51065	14631	24528	17818	15492	19682	14717	33557	20845	71348	39942	26493	42003	33572	36477	8000	85549	8942	42395	54362	25956	51865	27190	50935	31491	57160	72146	26721	9795	13405	86813	18387	27785	10178	17566	83289	69789	62946	43668	65565	30063	23125	11425	18672	13103	39716	70183	55736	101783	77266	58239	45374	47531	32137	29217	18391	19216	6077	30220	21542	33974	20343	58530	25443	113175	12249	9012	29784	19860	26836	48184	31974	55934	43258	44096	18910	12725	23941	14697	11586	10643	72690	64014	50609	227019	58496	36257	28087	35780	23744	39723	21087	8684	47081	64542	93950	39887	24251	55950	43720	17655	23769	13784	40293	13373	17885	28418	47116	130014	35076	63795	49786	30523	59546	19167	7048	8747	10570	11431
*117*	216442	lactic acid	peak area	160089	209129	165896	335879	271136	211836	280684	256355	328105	115231	557808	399388	100979	359017	160644	244080	171595	114182	288391	391761	163562	91015	539839	377860	235652	145997	89624	67370	95196	79795	36029	128387	333330	65611	72319	197796	55872	154726	72025	84594	118430	100221	174859	274349	112046	151511	84610	122282	180560	229207	130166	272543	119561	169074	210054	147464	284325	175812	86526	131325	290624	91522	130020	3333	44919	204874	407469	69645	230439	189090	185071	432459	277041	273479	300782	289399	194661	152135	301691	325390	140210	218893	147087	142991	97946	61743	237422	313904	144304	174662	179130	219524	236371	113442	380855	127589	522999	355010	454344	179936	319990	158541	234698	241951	151997	221337	44278	538484	183777	244868	485577	112495	230066	482122	852474	98143	280879	302486	102568	133924	221854	3009	51560	83186	188596
*158*	358756	isoleucine	peak area	286	2376	521	11434	182	653	596	17839	19076	148	8144	10401	6497	1092	229	2433	1180	280	144	728	6244	58	6875	7804	6863	113	96	294	54	39	240	244	2221	9367	3347	9295	6431	7149	4145	7259	113	187	634	708	181	463	181	236	3539	3890	8603	1719	856	144	1358	666	622	377	304	759	7901	2520	8572	9531	613	13131	1633	566	989	586	450	6693	14069	11482	10738	3557	335	1704	977	125	350	4660	2016	6385	11656	10256	2976	545	139	630	184	321	184	67	19486	339	15782	11640	7803	115	1211	1438	481	2390	273	361	5558	30024	15106	32024	13472	5430	209	1148	202	313	1404	2734	380	2863	7480	8134	5136	1794	11045
*305*	729867	inositol myo-	peak area	878	148	207	660	311	642	86	3726	3025	3100	1697	2383	414	188	119	534	207	176	294	125	411	458	482	382	410	2068	48	32	67	103	96	58	31	4434	2333	2407	3364	1215	2232	1581	269	67	129	39	77	51	69	491	1942	435	492	94	83	419	856	146	514	231	84	5426	2451	1740	1164	1882	1688	1935	937	105	137	81	175	1314	301	251	298	387	173	95	118	174	187	4418	1413	2083	2116	2270	1648	357	88	658	254	298	118	451	1071	1631	668	535	348	74	166	279	87	380	98	276	5929	4210	2816	2446	2026	3165	314	256	124	173	80	964	81	628	270	262	250	223	348
*217*	897806	inosine	peak area	262	330	208	431	238	474	261	11599	8821	4767	4550	7906	6901	396	334	610	771	212	579	296	3322	2763	7762	2963	3014	7521	177	129	150	367	321	232	396	5771	8406	6412	15845	7544	7835	6179	780	524	400	1386	1168	599	897	7356	3914	4395	5026	705	800	6397	131	222	431	287	195	5728	7036	3628	9465	5803	4967	3519	703	201	172	429	128	4147	5560	3291	3254	5014	154	385	176	74	190	3189	6085	3323	5373	4287	2827	561	213	719	1310	608	936	2365	5773	3253	6562	4644	99	709	407	339	694	281	255	303	4183	10962	5968	13529	4447	6203	520	464	53	472	500	440	398	6050	3860	4197	4554	2489	3067
*146*	255313	hydroxylamine	peak area	195276	317791	228988	333217	327394	486819	364677	181379	156431	173638	116969	135665	180027	272378	227757	203170	473220	460830	538431	365085	68981	178744	639	114023	99485	102089	154154	150844	146694	196094	467999	324214	250121	118200	73176	107914	153837	117372	145795	99319	167147	363809	415138	374644	257106	171765	227079	157087	104108	135072	87877	333616	137469	179941	307508	715074	478400	322212	323107	175290	63537	93223	157649	73395	139699	60103	346512	204557	382534	201405	477218	132124	212799	142343	164171	145361	379331	235263	285827	429191	438208	76409	106576	130620	132901	76135	130164	474762	344884	355232	267262	635509	597736	107221	264516	193118	107702	196890	20774	316752	494016	350861	293794	314462	317429	323344	203624	199810	130257	134007	101407	229794	335283	363394	626055	181519	418380	461376	251475	152609	152916	123252	87638	136528	128418
