Quantification Ion	Retention Index	Name	units	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332157	a332161	a332165	a332169	a332173	a332181	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332217	a332221	a332225	a332229	a332233	a332237	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332353	a332361	a332365	a332369	a332373	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332409	a332413	a332417	a332421	a332429	a332437	a332445	a332449	a332457	a332461	a332469	a332477	a332481	a332485	a332489	a332493	a332497	a332501	a332505	a332509	a332513	a332525	a332529	a332533	a332537	a332541	a332545	a332549	a332553	a332557	a332561	a332565	a332569	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332605	a332609	a332613	a332617	a332625	a332629	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332661	a332665	a332669	a332673	a332677	a332685
*117*	856203	arachidic acid	peak area	5792	3168	2870	10685	11268	5683	4255	3596	2541	2251	1583	1960	2137	2675	2022	3158	2096	1406	3136	6965	1357	3575	2687	1120	1450	11098	1655	653	860	1322	1654	1518	953	3395	7249	2556	2739	3377	1471	1801	2589	2041	2371	3267	1900	2118	2383	1255	5960	1293	4708	2904	2114	1612	9771	6413	5611	2492	2032	1818	2783	4407	1858	1497	2061	1552	6590	2659	2425	2251	3472	3060	1709	1291	1809	2139	7006	3171	3035	3562	3428	3444	6003	2025	4241	5282	4716	4586	1672	5474	3424	4167	4598	1073	3209	1704	4324	2369	4200	3271	2763	60718	2268	2902	3938	3061	1315	3411	2195	1879	1702	2049	3734	3363	4116	1948	2557	2794	1508	5595	1273	1715	3737	1547	1697
*198*	507734	alpha ketoglutaric acid	peak area	153	332	214	242	59	270	244	219	193	110	49	70	74	504	486	1651	1710	1035	1748	620	67	25	151	87	119	40	93	43	45	25	233	123	50	44	49	58	123	64	374	63	72	57	221	202	29	120	105	66	72	35	117	325	113	40	206	302	268	270	133	104	147	126	60	107	60	61	949	4328	828	1445	2111	66	235	24	177	76	269	243	178	384	206	66	91	60	71	84	27	334	171	603	235	349	528	122	140	86	109	75	424	137	222	163	175	219	72	155	240	227	151	71	144	71	596	8713	290	8995	20735	2953	615	114	365	101	43	63	105
*111*	475399	adipic acid	peak area	2473	1590	1342	1265	1202	3111	1492	436	674	1000	887	2234	387	1389	1238	3583	5377	1851	1844	7688	569	297	1946	831	863	2072	1042	703	633	468	2186	1505	933	880	897	756	1849	1021	870	230	1464	846	1692	2848	1694	486	452	784	1016	670	1768	2709	701	742	2799	1313	2517	2145	569	1205	833	762	485	559	1134	1132	3571	839	798	1220	2057	1295	1387	507	850	778	2990	2129	3064	1150	1255	1264	1897	709	1711	564	633	2973	1007	2686	2270	2665	1392	425	1045	1429	1403	501	2018	1427	2804	3907	7977	2903	1615	2713	2105	1079	625	591	612	1159	2736	1937	1820	1199	2825	2970	1546	1549	503	1489	250	510	404
*169*	1040943	adenosine-5-monophosphate	peak area	39	15	19	55	105	161	35	32568	26644	21188	21798	18015	43221	66	66	106	100	39	150	85	11293	12129	20945	8960	14826	24506	433	2605	16606	20161	649	500	954	16319	25960	16076	42587	21990	41757	28623	1549	775	267	82	2462	1864	600	16743	13210	22543	11230	747	419	30164	40	249	94	634	1195	25225	12070	13710	19357	16632	22028	18391	146	265	79	124	85	14973	34482	14975	19915	16118	36	163	148	25	99	23503	27342	15910	18102	10329	18199	119	641	154	323	259	101	7136	35715	25318	18582	17826	36	489	364	262	350	1807	758	265	24976	57909	28344	37438	12334	34429	425	313	133	3204	411	613	2031	21909	23839	39629	27239	20139	21007
*131*	310750	2-hydroxyvaleric acid	peak area	223051	23201	36891	39820	78385	116339	144717	6774	3715	6051	3771	4915	5452	98770	36880	123843	82358	97261	118976	172422	2588	5814	11865	4012	2270	7505	50648	35251	52709	57655	46615	29434	66620	4601	3186	2649	5444	2408	5065	3731	53943	42295	37741	87568	26958	27891	62659	8449	4805	6844	10689	61546	19183	7343	38893	75248	77004	78532	37978	5038	2184	3800	5922	3203	5033	3149	212050	19648	44081	32085	65810	4258	2436	3786	3822	5164	60224	29305	52766	41396	68294	4636	5191	4216	6080	2898	4033	52342	33336	43412	84240	85379	142592	4739	6321	2198	5605	4264	13615	110697	63186	20552	31993	26602	25900	75832	6818	7732	2187	4359	3577	6654	118419	93093	5989	28877	57797	29005	82208	4541	4113	1910	15939	4107	3570
*399*	959625	1-monostearin	peak area	244	340	200	187	165	495	238	302	422	283	276	257	312	131	261	309	215	505	308	266	207	348	947	2524	199	566	865	84	77	202	2102	221	216	153	289	307	761	3980	172	208	181	182	330	244	666	227	164	214	319	188	184	297	371	420	334	443	315	132	148	154	275	216	218	148	381	171	410	274	295	190	271	220	258	261	297	326	260	156	369	233	128	203	395	185	216	231	475	357	136	681	250	373	326	221	573	178	407	293	274	241	268	272	159	403	186	258	231	757	204	438	179	405	246	248	867	281	400	375	161	280	126	311	289	134	241
*299*	679338	1-hexadecanol	peak area	1023	678	578	810	571	879	1097	161	148	318	325	404	147	663	402	663	352	644	908	988	111	113	177	76	95	303	411	247	402	388	756	804	639	189	326	204	632	131	322	193	341	693	569	636	646	505	524	143	339	96	125	834	434	257	810	1637	432	499	460	108	495	169	133	483	428	272	1803	383	544	536	471	206	158	178	171	203	400	249	1126	778	318	133	94	105	159	135	314	835	330	814	562	1361	972	156	659	182	206	220	244	862	1184	503	675	466	1032	1261	208	341	258	521	336	366	906	838	288	349	351	806	523	144	149	105	145	159	186
*191*	278929	3-hydroxybutanoic acid	peak area	15988	1989	3122	3698	7578	12144	10153	2182	428	165	589	518	642	7261	2251	14458	9950	9855	11583	12030	870	327	676	447	699	396	2148	3413	1206	1459	1064	2752	4681	2981	1934	1546	1475	852	3576	3225	7772	12591	7201	8043	8187	3425	7050	445	404	1306	1417	2781	3757	525	2565	3709	5657	5797	467	3448	2547	1347	1481	1633	316	1118	12880	1314	1949	3081	5968	289	431	260	545	714	3173	1528	2677	2430	3453	478	1100	1406	1369	722	567	3154	1637	2954	9997	4151	13100	353	2234	219	4859	381	1145	6452	2589	2941	2442	2712	3747	7825	932	2418	2536	1363	1511	1488	12922	13204	758	6738	6940	8303	8371	91	368	801	1313	571	1178
*279*	831047	222295	peak area	10337	6139	11510	8051	2831	10079	19565	8989	6592	17513	3846	6838	8802	9672	3352	891	3764	21813	19870	1997	2274	1913	4489	7388	1991	1640	355	862	1530	789	842	1126	3232	1554	2643	1941	34556	5220	4387	6487	4293	1404	1263	10493	2852	2247	1111	25717	3581	5100	3415	20039	4334	2453	10160	30246	11060	4266	6011	6480	3239	5202	2944	8322	4639	1716	5241	17494	4159	8283	15813	15327	35218	6177	11320	2430	222307	212881	3817	97252	8734	2484	7541	2657	3162	3711	2528	20847	10961	10559	22608	14784	5027	3570	6744	2934	8720	779	14	11887	4119	24300	3971	2337	4801	3888	16398	43506	5329	4081	21662	3445	4001	14776	27	3642	6917	4832	13710	3613	2372	3637	1875	2425	963
*98*	844310	222285	peak area	43718	10418	120249	6929	5896	21826	35305	19677	11825	8310	5915	5301	16631	80547	12462	7123	13451	13054	20516	6989	8096	5390	5695	40257	14387	7213	6551	1374	989	2580	1994	3116	8114	18860	5793	25840	17185	5662	8473	7065	2620	24047	3436	6567	13913	3222	16641	1441	6063	32190	3401	25873	24603	10254	75238	79804	58642	5650	17495	596	7575	6225	2655	36577	8863	5565	37804	9904	6745	4343	26760	13834	16883	4550	28185	21145	13101	28612	21046	35844	32509	4840	6730	8292	5533	1614	1249	16123	36175	12334	3903	13677	27088	7114	9832	5025	7639	2572	54	18205	16051	18455	13771	18350	3842	2418	6098	17416	19792	6586	13276	11836	14572	14900	338	6428	17709	7800	48522	102	2821	8501	6921	1667	1074
*98*	923633	222237	peak area	4168	800	2224	8315	4733	19477	5116	19558	2046	1636	1647	1116	1619	1578	1918	4999	3763	5437	13201	2636	603	986	900	2776	770	307	1133	6933	662	2230	14539	614	8053	368	1106	5329	2036	716	649	3825	946	3936	1736	6869	7655	3099	1456	342	1770	1835	1882	8212	3212	6790	2164	27453	7870	3869	811	3304	1490	339	766	415	2664	4528	3665	1336	7666	10839	9792	1390	2906	1949	1717	735	2587	3611	31249	5427	8902	943	1644	6347	510	295	1750	12486	6286	4177	14000	43247	13975	2248	2807	2588	17639	11295	30	18752	7230	4881	11838	1953	1915	3295	4196	2830	942	1059	2717	3908	14284	2280	76	6640	12029	4792	3483	1521	1066	2449	1751	1434	3811
*98*	934171	222235	peak area	1188	455	1781	764	15711	37174	7612	462	2004	6511	10770	2113	5564	2570	2366	4826	1999	5951	13183	2932	337	697	3147	2762	3454	11632	1604	4395	891	250	10175	10032	4436	278	502	366	2211	6412	11776	2828	527	2344	4483	3195	272	2815	776	87	356	1778	1678	3612	1196	1364	6564	5141	15455	937	6758	6396	8780	314	512	1740	1188	1537	1441	2669	4619	3299	2999	1147	2251	1425	1611	452	2445	2054	22745	3382	6491	801	2067	22955	2135	2467	2362	6078	5580	2395	8016	45643	17407	2701	7757	1259	11253	23455	30	10395	2295	2728	1019	2385	2636	1557	16805	18122	1618	1542	1592	9415	5517	7373	44	1264	2983	19408	5814	1243	4713	2267	2336	789	6311
*98*	939984	222234	peak area	2092	1361	980	2121	11134	682	9617	5837	1024	5690	11104	2115	2841	646	3061	3339	6879	6151	5257	621	369	422	5202	635	4581	10888	1116	3760	896	389	248	86	794	2084	1099	1410	2241	801	22381	2756	455	1558	2050	18136	4448	1176	6285	1770	6748	9229	566	5056	494	17033	4487	7509	12873	13925	16764	6474	7578	515	7515	214	1561	752	1866	3426	3286	7990	4358	9501	4042	12630	2559	6753	5545	2342	49639	11640	4537	1567	3043	22444	1898	997	11524	5377	2163	17645	6479	59990	2337	3796	5265	3872	992	794	36	8746	9844	6517	1138	2025	3195	8838	24095	23183	1023	1555	2115	14670	3246	44194	100	5048	4136	5700	1394	488	3607	5369	7107	969	11466
*98*	941920	222233	peak area	691	349	818	705	18853	1182	2228	1189	1202	10195	884	1251	5790	1442	2197	4076	20863	6582	7095	10031	1168	393	3094	6020	143	9540	1851	2907	634	4574	6869	5411	507	313	3684	685	10204	272	690	1471	2813	769	1469	2167	234	1754	710	1643	116	1904	1418	10154	905	2187	1715	3738	12195	2398	4661	12078	6062	295	993	1032	1519	713	806	1835	8625	3686	3260	214	915	1867	6151	2068	16936	3543	4368	4269	5249	1527	1039	2251	820	3400	1212	7101	4586	5785	5077	3985	2221	1190	6613	12753	1412	636	39	6058	1758	3414	6143	3885	3636	463	19765	967	5641	992	453	21535	18451	5555	155	1209	3054	4865	7567	4900	4656	600	6259	765	8065
*96*	533971	222214	peak area	1281	2069	1331	1780	1632	1983	2962	974	945	1321	488	824	965	1439	2091	5585	5392	6308	10203	5728	1164	1164	11264	1219	1091	3633	1807	2244	2033	2622	6031	4597	2562	896	844	679	1068	806	1622	1027	5086	3403	4760	5819	3056	2121	2234	3145	1044	1092	1714	2039	1243	4121	1696	3277	3870	13537	3083	1460	797	1106	1274	677	1652	389	1555	1613	1760	1129	3322	1942	1374	1394	1583	3137	4798	2286	2885	4446	2275	748	998	1285	1203	1059	923	4067	5295	3916	6429	4337	7459	2345	2163	2322	994	1555	242	5893	3628	2402	6279	2146	4273	6563	733	1044	482	406	496	1166	2858	3808	12180	2001	3240	3094	2567	1079	1080	557	887	703	977
*114*	967501	222199	peak area	1461	1060	1122	375	405	1128	2565	650	157	56	553	860	105	788	1381	384	161	2075	1220	2297	659	235	985	168	556	1072	950	325	923	249	4153	1099	299	340	499	301	837	635	600	887	85	123	466	442	606	146	230	954	625	78	32	406	667	1424	593	1677	282	886	1484	135	1425	639	235	207	253	518	259	1194	833	279	156	682	106	396	154	1009	1263	486	759	266	683	179	136	174	174	334	746	1444	411	6911	308	2952	5827	123	453	209	167	176	18	164	1643	443	1066	1313	3000	3466	744	372	238	381	437	309	3252	60	596	711	517	308	590	560	221	961	141	410	1152
*162*	396730	222197	peak area	726	768	2734	983	912	2770	3049	7200	7686	10405	6699	6403	5807	769	1798	3390	2417	1953	3026	1886	2774	3886	475	4053	2863	2297	4575	9047	33865	12573	3054	4068	1763	6839	4404	5591	9153	3261	787	5039	322	2914	1612	554	3434	3006	488	9863	2881	3709	1043	7897	3618	4255	3675	6604	1350	4178	14482	6738	7694	7454	4851	3720	3654	3747	2607	13854	9626	11124	6997	7194	6029	4377	7427	7391	2701	4223	5571	4696	3414	3140	6975	4563	4288	2840	3079	1284	3347	4484	649	3956	3101	5888	11368	13428	5996	6198	35721	5323	4888	6044	5399	10901	9406	5520	9187	12177	3799	6469	3144	5996	10238	6197	55	12807	3791	5052	12719	4794	8890	3629	3103	8438	6571
*98*	901894	222196	peak area	1948	25103	1948	9494	807	1399	5241	17201	12032	7838	390	362	2413	4352	4442	3250	1672	3049	2316	7137	1585	766	1052	870	522	7396	1254	7170	1747	681	3961	5376	1175	434	4755	946	15174	2531	8162	1524	1140	4011	1026	3952	2743	1836	1643	10786	678	2204	1179	9381	2832	1548	2306	4427	8888	3348	7712	405	7176	415	857	12698	1463	472	3775	6132	7058	8915	1956	7237	15314	302	2786	4773	7502	554	4179	3363	3026	606	1512	2126	1716	9883	1133	7547	1716	14885	43440	1451	3852	482	3682	10384	4821	2736	74	5654	4253	2726	1438	3938	4167	7668	2212	3057	10809	2631	5952	1300	2401	5197	194	163	8062	3556	2667	1141	966	85	1167	4295	190
*98*	478966	222194	peak area	4851	3889	10726	4384	1263	9492	6845	12639	5464	3347	4386	8188	245	5087	4985	4651	3416	2895	5905	1332	976	833	755	3948	4023	842	302	258	219	186	608	922	459	261	310	842	1354	293	737	409	365	536	573	533	421	334	329	710	2889	785	495	11170	762	282	5997	2575	4043	1639	4623	1636	7681	6847	1215	3441	4101	5901	4310	5544	13551	5255	9187	4233	6041	1829	3451	2966	5835	2760	5031	7500	4343	3059	3213	586	5153	5145	986	4824	568	5587	777	4930	7299	2483	10162	7148	8055	3929	3494	1008	1119	5842	7307	3740	4567	5375	6102	10961	2423	4564	5019	3576	5643	4495	9947	3943	4587	4042	5238	941	5986	5119	683	1974	4947
*279*	878776	222193	peak area	1491	1142	2026	696	1337	4487	3917	4111	4501	1661	756	2177	614	1975	1774	1292	734	284	2297	1190	1404	1236	2748	4559	1563	1212	491	304	168	200	1513	669	170	609	2852	669	1898	1240	1158	1055	905	389	1167	1563	1432	1444	592	704	645	2469	897	2524	1435	1943	3772	1729	1106	1729	525	1922	1798	439	2454	788	987	608	2375	968	1295	3633	10333	4850	3178	448	873	2618	6317	884	5309	808	1578	1121	1133	325	2363	1040	45	6656	9671	1575	2140	400	2137	1341	1256	5343	3512	1054	31	3332	1644	3929	2468	1661	2647	1764	2814	3056	1663	3380	1353	2605	2569	2726	200	2845	3303	1978	1567	944	1696	1102	277	1564	465
*98*	834440	222172	peak area	8156	7073	28610	28280	10950	39632	69159	27476	72392	14266	3152	30404	17332	97909	15036	15479	11303	14701	31824	9874	20895	3584	11330	12040	3205	18406	4580	2925	3103	1519	2102	3901	5252	2407	8886	7199	31359	8332	10811	8676	4663	4167	5612	16873	37262	11344	5002	13751	5487	17145	12763	29815	14644	23864	34107	81895	25470	3798	2002	11238	5284	9050	1927	7882	9950	3526	22690	61946	5697	35659	61804	49937	85992	2897	16867	29732	35868	366704	36400	349198	27460	3569	21388	5412	17626	11425	7993	118724	38370	66403	35968	16738	13549	12096	15740	24473	28795	6208	50	31395	21225	25348	10700	7067	5895	14658	8919	18947	7889	16845	73735	5373	23364	44084	35	164	16525	14606	10968	6006	59937	18000	4634	5461	27703
*144*	975088	222169	peak area	2366	2535	2315	1236	647	2715	4381	1080	194	333	1459	1230	525	1339	2808	705	615	4316	1513	4106	1252	437	784	278	992	1758	449	782	507	294	4480	4143	1082	1045	785	887	1171	1083	1661	1982	137	442	299	729	1319	624	611	1589	1610	87	117	854	1456	2018	917	1312	1510	1112	2016	186	3163	1210	802	585	491	1432	454	1062	1562	629	598	922	419	1009	285	1771	1782	1036	1265	595	1127	255	239	218	302	937	1245	1897	707	5411	163	5544	6354	167	798	322	309	424	30	365	2488	612	2051	1655	2289	6799	1419	492	495	967	980	731	3245	1592	42	1086	1344	399	991	577	528	1227	222	479	2546
*98*	852148	222154	peak area	7436	13129	1208	3991	15122	10902	28967	8487	6907	6640	19456	5788	38499	5787	5931	10891	12321	5639	4538	9973	5195	11802	14935	19778	11083	13069	3764	2698	2559	849	4133	3187	5493	2319	3291	3462	59300	18065	4120	4257	3212	2581	6231	12936	997	5639	2189	6164	1768	6630	7439	7752	49933	2916	18159	18442	126017	2508	6421	7092	9286	4639	2786	2698	2559	2760	16340	6162	14780	11115	25110	12626	6487	1290	44426	12989	31267	2222	10120	12533	18392	1033	6262	2509	6258	929	2305	7649	17670	22830	3832	20053	118820	7959	8339	2764	18652	7293	49	21202	14987	22198	10232	12605	7825	7007	3138	14604	8123	5818	1104	8052	7598	21084	106	3854	14267	2680	9306	7355	8292	4485	2140	7691	9369
*320*	694637	222152	peak area	467	2330	962	1120	351	2212	1044	22384	19367	13130	12591	13486	13617	1500	644	473	262	1788	1277	2478	12253	7993	15579	8724	7628	16135	586	685	1065	1358	1936	6864	4957	11084	5900	13563	21003	7433	12252	6274	580	832	1110	786	3376	879	620	17608	11466	6741	7245	152	69	15646	369	2326	2059	2987	8398	16056	16088	9332	14837	8108	10030	11541	4745	1303	2928	921	1378	9570	15284	10121	12650	7340	542	224	3194	1460	1493	6538	7630	13814	11793	12325	6205	1329	1703	1660	1640	13011	6296	9509	33029	16925	10581	18253	192	1412	359	301	5063	295	195	2881	13782	25256	13079	16641	10999	16033	1486	414	61	483	1833	246	318	11941	14228	7673	6158	6190	14356
*316*	1196547	222151	peak area	4672	1142	1299	905	1591	3893	1017	1563	1042	877	803	656	1367	1534	1009	1441	870	625	693	463	542	754	2191	538	623	1296	252	158	407	447	884	538	589	471	1094	838	1487	856	579	634	321	688	795	783	705	1081	667	541	712	658	304	1855	923	875	3475	2276	2646	926	687	407	813	450	412	776	851	578	2811	816	1014	959	1585	575	845	449	748	778	1628	1127	1189	1309	883	553	931	370	433	560	732	2402	583	2542	578	1613	1655	680	1384	921	1163	764	422	917	1447	2243	783	2351	1221	1573	775	1972	826	847	631	1229	2453	1861	2534	802	1456	2375	838	486	587	876	721	511	664
*85*	249620	222115	peak area	10828	91954	6695	98104	31925	36983	114019	18147	20865	13243	45494	40523	23304	63356	58066	10384	9707	4150	43843	26632	2491	5201	5718	5444	12572	34902	2363	3359	2204	3083	32630	12411	15994	8779	5994	41589	19109	36497	829	7064	4186	1370	5884	9034	5181	8461	2929	6515	10784	19638	5437	23917	44558	10668	92616	29093	127449	18152	22066	16748	12276	7866	12928	7448	25641	11335	24411	46405	21287	82577	34674	5678	22267	5412	6569	3724	18076	60312	30479	101678	114256	6356	8634	7991	4243	2698	3803	127092	38898	12900	39413	149746	18008	3964	54097	6896	31105	6626	3829	132965	40001	23516	17409	82001	18194	25428	20555	76752	41467	47515	17904	32442	12671	44520	58458	8496	31968	40503	17167	12654	15780	9997	8336	13348	37680
*279*	913913	222103	peak area	2036	390	1009	1265	761	1031	1330	8277	1155	723	538	371	170	1040	259	973	2067	2406	940	1472	515	546	1507	578	572	898	359	557	245	285	627	4634	3788	1192	1376	162	433	557	342	1494	225	2485	648	749	3367	940	567	485	620	290	532	4794	3326	319	1916	8107	2127	1627	622	1586	417	1735	453	247	462	1615	2992	866	485	3128	2468	519	1142	944	1106	581	2871	1403	2334	2336	3742	272	843	2100	1112	2523	167	1830	2005	1742	7063	745	2464	586	2145	630	1371	1542	19	1171	1824	1822	707	551	939	1494	708	1177	405	446	269	165	784	2821	124	2104	1060	843	864	1563	346	275	911	681	831
*208*	484225	222102	peak area	3993	1449	1361	2186	1468	2867	3984	627	611	186	619	302	376	2122	844	1352	3361	1085	2902	2986	286	301	824	258	336	552	1035	1080	1002	1042	528	1721	1371	338	302	463	330	230	189	437	755	895	1780	1363	997	668	1065	220	253	227	373	1319	980	357	989	1803	2587	2971	486	341	400	256	112	395	449	305	3837	761	964	972	1422	166	238	160	184	481	3191	580	609	456	1229	267	524	281	311	352	222	1892	655	936	3142	1251	2599	233	924	243	376	414	879	3273	3063	1868	2594	1545	3850	3434	544	692	281	504	336	477	3666	4244	350	1675	3599	1007	4082	214	283	246	296	159	376
*266*	653563	222101	peak area	507	497	986	842	2702	2132	1844	1128	625	652	1269	584	366	719	852	1945	3036	3246	2738	2587	552	678	2222	598	777	1456	1098	744	1037	907	3579	2105	1019	425	383	592	2075	659	1274	612	951	1495	3030	1356	1080	1535	1368	1209	881	1160	325	1917	1835	1390	1063	3014	2756	3447	1126	1011	700	510	902	356	1362	666	2026	502	892	879	2113	910	714	916	868	819	1688	852	1360	1331	1652	545	1124	1250	1200	612	428	1372	2661	1792	1990	1962	1652	730	1626	1553	813	1016	267	1980	2035	2005	2437	2838	3558	1959	510	775	195	274	259	856	2225	3659	4372	1983	3782	5730	2217	448	249	738	363	549	666
*197*	590692	222099	peak area	2291	661	1670	1127	3252	2008	2015	1560	866	632	914	544	572	1710	556	2420	2539	1327	1248	1339	353	295	778	493	459	567	518	658	327	378	1332	724	661	685	548	681	902	632	699	1212	541	751	2091	717	765	1413	526	703	675	284	340	1215	1697	627	1582	1067	1305	903	1157	1058	1064	886	807	1165	934	942	6926	576	2835	1546	1718	299	303	357	735	673	4874	2791	3079	3540	1003	227	384	273	155	483	312	2166	669	2628	939	5452	3018	467	1430	1304	739	630	514	999	797	6392	1117	605	1148	2144	734	2072	937	955	867	1909	893	3378	1800	3541	1742	6718	1165	556	871	421	779	1103	1078
*279*	883594	222098	peak area	1013	1763	1116	342	2791	2576	2281	2908	2485	1376	299	3211	396	731	587	1790	2571	1360	1857	2567	1949	1015	352	2372	165	724	260	825	494	783	4433	4341	953	373	755	354	280	859	835	652	720	311	1541	1191	216	385	436	473	320	595	407	2505	2197	791	729	1088	1414	978	202	798	694	1005	884	629	686	438	1760	235	2210	1627	2519	2330	1630	437	539	45	4229	1181	2319	2434	1061	243	583	1300	1040	441	825	3932	1590	2461	2296	2965	1235	517	523	1184	1248	889	30	4074	937	1697	1953	1001	1632	1353	835	1293	1563	4591	272	1282	1350	3128	162	1539	3348	607	2652	1319	274	114	441	564	680
*279*	862720	222097	peak area	1922	1777	1895	869	1344	7175	3902	5811	1887	726	3881	295	2485	1150	1118	1178	2600	981	5310	957	7671	1717	782	2606	8689	1630	450	27	466	596	1626	1909	1051	589	1298	1536	4197	903	1058	941	1071	1487	367	1606	455	755	458	1365	801	1809	964	6157	634	2867	28913	8274	1798	1324	2979	2499	5147	572	3571	843	772	381	2012	1909	827	3440	2285	5083	4714	4495	3105	2600	5108	3067	3787	4313	17231	726	7732	1339	2766	650	3223	8360	4601	2659	3447	2682	4338	3471	3222	3671	3217	1046	30	909	721	4568	1369	2574	4368	893	2483	2553	2207	1887	2495	519	2699	3627	188	1683	3808	1444	1337	811	1007	4156	475	1710	537
*98*	869398	222096	peak area	13632	3961	5252	2954	8143	14082	15259	10363	7549	5487	3009	3706	12145	3656	2474	8213	9305	3936	10757	3624	5193	3823	8201	7772	17774	8551	1221	5253	6266	3420	617	4114	6022	1170	3113	5137	4573	2667	2937	2530	3220	1274	2874	3708	2830	7508	438	4483	1282	3516	4254	24810	29585	5133	6761	14848	14132	8717	3546	6184	6093	7937	3098	1286	2008	1646	11014	690	27854	6850	10679	9669	8541	1931	5368	24863	72070	15329	3755	1705	3256	1841	3268	2156	4725	9937	2327	21855	8032	1160	17010	5978	6200	6498	5104	7845	7739	2505	48	6753	13481	4368	4782	4629	9150	17432	2769	6794	8795	10527	7698	4275	5520	6027	30	12085	21854	3599	3953	1381	3580	4962	2580	4495	5823
*99*	482054	222094	peak area	1258	2983	2260	1521	3111	1728	7562	2287	1925	2220	1385	1192	2814	1319	3555	7883	8250	7438	8023	7312	1915	2232	517	2262	1535	5199	1868	1625	1997	1742	5811	4456	1765	975	935	1018	2958	1170	1834	1362	1390	4733	4606	4196	4193	4273	2153	2178	2770	3131	2964	2778	6866	5321	2665	7573	4095	7401	3192	3527	1094	1191	2762	1153	2476	1582	2435	538	6273	5278	1727	1559	3148	1985	1826	2017	6276	2454	12265	3807	4592	1081	1967	4307	2621	1457	2199	4145	5745	3322	7354	5799	5171	1882	3611	4561	1999	3559	7858	7387	5780	2508	13416	3740	5344	4394	844	2076	825	1245	1107	2472	3565	27860	1098	4239	6374	6703	3772	2278	1049	1081	850	1316	1788
*155*	573506	222093	peak area	1979	4081	3548	3584	1896	4682	6578	3904	2448	1726	1400	2275	911	2768	2766	5207	4924	3956	7142	3380	3599	1012	553	1926	2059	2314	1004	639	519	442	1288	1634	807	1681	1829	2026	3242	1786	1586	1945	572	853	1966	1942	1557	980	593	2519	1925	1810	625	5016	8542	1895	4574	3794	4443	3445	3151	1103	2377	1559	856	1774	2057	1906	3584	2892	5607	6487	5613	1811	3383	1314	2017	2971	4878	2274	5946	5586	4339	1664	3217	993	2762	2486	1053	4758	1423	3918	1769	5125	5492	1603	5426	3564	2692	2876	22825	1582	1855	4252	6040	3620	4158	4712	1791	3686	1482	1515	1488	1390	4491	5478	4480	3359	3097	4772	3275	608	1941	1713	660	1133	1850
*167*	368451	222092	peak area	3578	1995	4769	2399	2650	5365	4830	3634	1624	1723	1503	1652	1006	1442	3579	4407	4359	3060	3224	2688	839	1071	2196	1383	1180	1890	1368	1060	1356	1064	3878	3999	1543	1386	1979	1047	666	1232	2458	1594	1176	2225	3434	2175	3448	1640	1409	4379	1496	1393	652	4339	1343	1400	1920	3004	4436	4808	5048	1307	1327	1647	511	1202	944	2157	2814	2995	6343	3181	7869	1363	1246	1116	1559	2326	7406	2739	5100	7181	6472	1472	1979	891	1815	1492	322	4704	1889	5774	2509	4763	8583	1548	2586	2641	1211	1368	783	3076	2862	3411	6941	3018	3703	5120	2088	1969	528	1211	1009	583	4450	5456	2302	3960	2431	1894	3676	871	2059	656	717	191	1338
*98*	847705	222088	peak area	7181	14302	14180	3626	12302	9866	9120	16025	7419	10943	5517	7319	21129	70458	6657	17196	14881	2928	30015	3562	8093	7180	6001	7186	11020	8377	2075	255	1035	565	969	2693	1505	4560	6084	4515	1911	4546	3815	9428	5184	2002	7334	9880	30365	6715	1382	1889	5826	5874	799	13787	10467	4566	34633	22340	25367	3302	8109	2743	8292	17620	6425	3657	2133	1137	24790	11813	67478	16336	14736	3595	9809	8123	4845	6901	63205	30569	22524	25068	17568	2070	8706	4071	1256	655	3107	40803	25641	28099	14791	16222	9173	6051	10219	5992	22230	4036	32	7530	17362	30455	6234	12273	9643	42503	6391	8665	3356	13024	3808	5463	7868	18098	106	7608	15299	5563	4000	1554	5769	2262	3873	5236	5204
*127*	561682	222086	peak area	3384	4690	6774	3603	3872	10094	7303	40599	28787	24682	20627	27401	32271	4910	4493	17744	22161	13041	19317	5459	31453	17239	51666	19820	22513	44389	7473	7129	13494	10449	13293	10406	8120	20300	26224	23547	47675	16862	23054	26090	19525	12400	18584	12558	12913	11683	7338	40626	28943	21606	41391	8830	8777	42380	6532	15955	8302	13617	7458	43399	27639	21685	34582	20973	24322	20821	10872	6570	8127	8504	8541	29447	34376	22300	27690	30437	10585	5622	15429	16368	6053	26151	50812	54818	36774	29359	19412	10939	10600	9337	15263	13642	9301	27552	55979	48919	24611	28149	93822	15540	11636	8419	8466	13520	16642	8798	25013	42876	16576	21627	18217	27016	13234	22553	2986	11476	13834	15207	9767	37499	24480	17156	11139	17156	20174
