Name,a332577,a332581,a332585,a332589,a332593,a332597,a332601,a332469,a332477,a332481,a332485,a332489,a332353,a332361,a332365,a332369,a332373,a332241,a332245,a332249,a332253,a332257,a332261,a332265,a332129,a332133,a332137,a332141,a332145,a332149,a332153,a332633,a332637,a332641,a332645,a332649,a332653,a332657,a332525,a332529,a332533,a332537,a332541,a332545,a332409,a332413,a332417,a332421,a332429,a332297,a332301,a332305,a332309,a332313,a332317,a332321,a332185,a332189,a332193,a332197,a332201,a332205,a332209,a332605,a332609,a332613,a332617,a332625,a332629,a332493,a332497,a332501,a332505,a332509,a332513,a332381,a332385,a332389,a332393,a332397,a332401,a332405,a332269,a332273,a332277,a332281,a332285,a332289,a332293,a332157,a332161,a332165,a332169,a332173,a332181,a332661,a332665,a332669,a332673,a332677,a332685,a332549,a332553,a332557,a332561,a332565,a332569,a332437,a332445,a332449,a332457,a332461,a332325,a332329,a332333,a332337,a332341,a332345,a332349,a332217,a332221,a332225,a332229,a332233,a332237
214685,8.388,17.3754,7.6653,11.2912,10.0154,7.1599,8.8392,8.2992,9.9381,11.5309,10.0028,8.7279,10.6564,16.3638,10.3061,9.3443,11.4367,7.3219,11.1555,7.0553,6.8202,9.6055,12.8922,12.8711,10.4717,9.6147,10.5118,10.9643,6.7944,11.1202,10.1202,9.6528,18.0969,7.8948,7.8138,11.445,8.4346,7.4594,9.4939,5.3219,9.8471,5.8826,13.1378,9.207,14.4281,9.1749,11.0464,9.255,5.8074,7.3399,15.3185,9.1111,9.7091,8.8424,9.0661,8.697,9.6475,8.7039,12.187,8.0928,13.4108,7.585,13.8263,12.5918,12.7873,10.7574,11.905,10.4491,14.1128,10.7969,10.6202,9.9887,11.3471,9.6865,14.8976,9.8642,9.9658,8.683,10.2228,9.2808,12.8782,11.2802,9.7228,10.3264,9.8872,10.9694,11.2825,12.9562,11.268,10.2095,12.3918,12.9469,12.7048,11.2228,10.1267,9.4898,11.8222,9.3219,9.9322,15.3649,12.0821,6.2479,13.576,10.0056,10.1085,12.2577,8.6511,9.783,11.2521,12.3112,10.7674,10.3696,9.7731,13.459,9.137,9.9322,8.1033,8.96,9.0334,9.2021,6.9425,8.9189,9.2192,11.2461,8.7347
213961,14.0689,13.2029,13.5137,13.3903,13.3868,13.4925,13.6723,13.8781,12.7985,13.9149,13.2119,13.5371,13.0243,13.4147,13.8501,13.2023,13.0745,13.0112,12.592,12.4385,13.7021,14.1331,13.6296,13.5557,13.3548,13.5342,12.8351,13.4773,14.1964,13.7714,14.5618,13.7386,13.7772,11.1485,13.1663,13.9485,14.3614,13.6007,14.4374,14.8127,14.6869,14.7213,13.7391,14.016,14.9972,12.9306,13.1372,13.7471,14.2049,13.4077,13.7793,13.8845,15.0088,13.901,14.3847,14.2672,13.6379,13.0899,13.4215,14.3892,13.6974,14.456,14.1752,10.6555,12.9723,10.3707,11.3987,10.7912,12.4893,10.5401,10.7814,11.1978,11.1286,10.9091,10.4848,12.8072,12.7478,11.2627,11.1364,11.2697,12.3454,11.3365,9.6689,10.4929,11.3788,11.2306,10.4325,12.116,10.7202,9.9293,10.6777,11.9381,12.3842,9.9337,10.375,10.3955,10.9986,9.9322,11.576,9.4858,11.7912,10.1948,12.9261,11.0471,11.7752,11.8815,11.914,11.4853,9.858,11.0348,10.5157,12.1075,10.8673,11.9121,10.3106,8.4094,13.286,14.0583,12.6039,9.9643,12.6004,12.8027,10.6036,10.2562,13.4755
213735,11.7091,10.4357,9.6546,10.2935,11.0715,10.1485,11.3009,11.7453,10.6804,11.4863,9.8704,10.1787,9.0875,11.4558,10.9866,9.1874,8.7682,9.0251,9.5906,8.4635,8.9159,11.7698,10.102,10.5943,9.8781,11.4481,10.6411,9.4051,10.5038,9.8486,11.6773,9.543,10.1536,11.062,9.6724,11.3168,8.4878,9.0224,10.403,10,10.9679,10.9315,11.239,10.9622,10.4656,9.8202,10.9873,10.9256,10,9.2691,9.6475,9.5584,9.6055,10.978,9.9915,10.2276,11.0154,10.8361,11.3548,10.1357,11.4388,11.2076,10.9887,9.0661,9.0715,9.543,8.8765,9.4115,7.5774,8.1447,9.2046,5.9069,7.5622,10.6917,8.1799,8.7142,9.2621,10.2479,8.2715,8.8857,10.4522,8.5038,8.7814,8.4179,7.4676,11.0688,8.2992,8.2432,9.1293,10.1674,8.9366,7.9307,8.9425,10.5699,10.2703,9.3219,7.983,8.6184,9.2527,6.7142,8.0821,6.3576,11.4645,7.8329,10.0348,9.9715,10.0688,8.4919,8.7549,9.4094,10.062,11.656,11.1478,7.9542,9.4656,9.2432,8.9218,11.0471,8.1898,9.403,9.5641,10.5527,8.1649,8.7649,10.3465
213353,11.3756,11.31,11.3597,12.1189,11.2668,11.0573,11.4184,11.9348,11.2562,11.8333,11.9876,11.8412,12.0911,11.7665,12.2321,11.1427,10.9887,10.4939,9.9801,10.6484,10.6101,11.255,11.0189,11.3674,11.2402,11.5068,10.9069,11.3982,10.8178,11.8412,12.0231,11.2426,11.6782,11.7013,10.9315,11.3998,11.6808,11.0035,11.8368,11.2312,11.7432,11.9166,12.2104,11.8622,11.8517,11.1209,11.3326,11.4019,11.6883,10.1383,11.7773,11.774,11.7334,11.0091,11.1929,11.1573,11.2767,11.1743,12.0296,11.5343,11.2842,11.2975,11.0505,10.4919,11.4969,10.7125,10.9665,10.0914,11.0098,10.1421,10.2467,10.2866,10.2384,10.2889,10.0914,10.7296,11.1793,9.9629,10.3476,10.1408,11.2113,10.4737,10.633,10.4757,10.8057,11.8074,10.6742,10.3891,10.3977,11.2958,10.796,10.5999,10.5536,10.0861,10.1472,10.3026,10.3761,10.1548,9.7748,9.8673,10.4868,10.1215,12.1658,11.2125,11.431,10.6671,8.9542,10.2082,10.5294,10.098,10.8887,9.9958,11.2101,10.4594,10.3083,9.8297,11.4289,11.6096,10.6786,10.275,9.9944,11.905,10.0014,10.3117,11.341
213324,11.0553,12.5299,12.8696,12.6546,12.0279,12.8092,12.5343,12.4041,11.388,13.2594,12.1827,11.5821,10.6698,11.883,12.1102,12.5343,12.0785,10.5821,10.9636,10.668,10.6777,11.5157,11.7172,10.6165,12.8404,11.9556,12.672,12.6369,11.4584,11.9975,11.7117,12.5803,12.7742,11.9776,12.5338,12.6334,11.3542,12.3376,12.8905,10.7748,12.5934,11.4538,12.5179,13.3019,11.0182,10.7879,13.3848,9.1997,13.739,10.3072,11.2935,11.1466,11.1799,10.6366,10.1396,10.5275,12.3818,11.314,12.4599,12.3753,12.4858,12.5701,12.0488,12.8757,11.5536,9.8424,12.4257,10.3554,11.2668,12.6241,12.5311,10.7855,12.4717,11.4564,11.1196,12.0049,12.4022,12.5495,11.6202,11.6764,11.8876,12.3259,9.9024,10.2324,10.2228,11.8349,10.7781,11.3778,10.5078,11.4803,10.0821,11.1092,11.1427,11.5177,10.3365,11.0458,12.31,11.7744,10.9469,12.06,12.4535,11.3761,11.716,12.551,11.9819,10.8218,12.5615,12.26,11.0369,10.9159,10.8162,12.2234,11.585,11.8053,11.2161,10.6935,11.9263,10.7707,11.5299,10.9039,10.4136,12.116,10.7838,11.8826,11.7415
213318,9.8857,9.0196,9.1447,10.1935,8.098,9.2503,9.4838,9.9944,9.3287,9.3332,9.6812,9.6129,10.1007,10.1886,10.0238,8.0168,9.6636,9.733,8.7582,9.0928,10.2715,10.543,9.4574,10.3652,8.6582,9.5236,9.3354,9.9715,9.6092,10.4939,9.5137,10.4294,10.5736,5.4919,10.0334,9.733,10.6184,9.6795,11.7574,11.1687,11.7142,12.1418,12.5734,12.6149,11.592,9.9498,9.9159,11.1273,11.0748,11.403,12.2889,12.4916,13.1351,12.3985,12.4142,12.0573,9.9054,10.2131,10.1874,11.1699,9.6421,10.9908,9.1573,11.1668,12.7455,12.1596,12.5043,11.9065,11.5182,11.8584,11.6398,11.3869,11.7883,11.2258,11.224,11.8494,11.2228,10.6546,11.7887,10.5265,10.4346,10.3652,12.1144,11.6693,11.5948,13.0502,10.5887,11.7,11.9366,11.4979,11.6887,11.2574,9.236,8.4051,11.421,11.6348,10.8065,11.4221,11.891,10.8065,10.7541,10.9794,12.2458,12.1049,12.059,11.4974,9.2143,11.73,11.8162,10.9374,11.2952,11.8777,11.2088,11.3826,11.29,10.4727,9.4778,12.6987,10.1611,8.8265,10.1124,10.7296,8.1699,9.4878,11.8588
213288,8.2046,8.7715,8.9189,6.9658,5.4263,6,7.0553,7.0553,8.3837,8.1396,8.1548,8.3129,6.6582,8.0553,8.8642,9.0553,7.7074,14.5741,14.7519,15.0137,14.1658,14.7085,14.0264,13.712,7.1396,8.3219,7.0875,8.5469,6.8826,7.6511,7.2761,7.9009,7.5999,8.2384,6.3576,5.6439,8.7549,5.2479,7.8948,5.6147,7.5469,7.2288,8.9484,8.3399,8.2432,8.1997,7.4009,7.375,7.098,13.9849,14.4634,14.8389,14.0513,15.0983,13.6498,13.9827,7.9773,8.0168,8.5314,7.6073,7.6935,7.1396,6.0444,7.6582,8.5507,7.7748,8.3531,7.96,7.858,6.8074,6.8948,6.9542,6.7415,6.6582,5.6147,7.0661,8.0168,7.0224,7.5078,7.6221,7.7482,7.7279,13.309,12.8906,10.9241,12.4344,11.5445,11.9388,13.2876,8.8517,8.5078,7.4179,7.3399,7.8392,14.0538,7,7.8517,7.9773,6.5546,6.8948,8.0821,7.1189,9.0954,7.5774,9.4512,7.8392,6.2479,7.1997,7.1497,6.5546,7.6795,7.4676,15.1928,6.9425,11.9516,12.9304,8.7781,15.6158,15.294,14.6188,6.858,8.7108,6.8455,6.5392,12.2814
212586,11.8309,11.9465,12.0546,10.8329,10.1774,10.1111,10.7406,11.9363,9.4533,11.905,11.4221,11.2975,12.3231,12.7132,10.5098,10.8345,10.6839,10.3934,10.2796,9.8719,10.1898,11.6533,11.3089,10.7731,10.9715,11.421,10.69,10.9046,11.7347,11.8439,11.2568,10.218,11.0105,11.8392,10.021,10.3487,12.341,8.1497,10.6917,11.3815,11.2408,11.6362,12.1652,12.0782,11.7078,10.5226,11.4929,11.0056,11.3619,10.0728,11.3896,12.0396,11.3674,10.9403,10.8994,10.9873,10.5953,11.8277,11.1706,10.7389,10.7895,11.0098,10.9571,9.7566,11.1917,9.9929,10.3061,10.0251,10.0674,9.7142,10.6847,9.8963,9.9614,9.8376,8.8234,9.7566,10.7903,10.0389,10.0941,10.0471,9.7846,9.6795,9.6935,9.5527,9.6036,10.1189,10.1163,9.8994,10.0042,10.275,10.4398,10.2981,9.6239,10.2958,10.3707,10.4073,10.3565,9.4574,9.5831,10.2958,10.3859,10.032,10.9136,10.2408,10.4988,10.5382,10.0808,9.7091,10.1408,10.1836,10.0795,10.544,10.0307,10.3509,9.858,9.6742,11.1209,11.1774,10.2312,9.7194,9.2192,10.9679,9.0389,9.6421,10.7977
211898,11.4558,11.4041,10.7993,11.2282,10.749,11.032,11.0224,11.5304,10.5314,11.4722,11.3151,11.3647,10.2456,11.7461,11.3853,12.137,11.0741,10.1254,9.8424,9.9929,10.1176,11.1855,11.2276,10.2408,10.388,10.3805,9.941,10.8455,9.5527,11.4383,10.7082,11.0539,11.3498,11.1972,10.5137,11.1793,10.9241,10.697,11.3993,10.7211,11.0168,11.5137,11.9748,11.9065,10.8017,10.4512,10.96,10.2668,11.2912,10.2312,10.8564,11.3832,11.1573,10.7339,10.851,10.0954,10.2597,10.1267,11.5435,11.4003,10.4594,11.5498,8.8486,10.0821,10.1699,9,9.1472,9.0168,10.3197,8.9687,9.6724,9.8122,9.9787,9.5622,9.3859,9.9293,8.9099,8.9218,9.9469,8.8978,10.4757,8.9159,9.4325,9.0795,9.1085,10.5727,9.2691,9.585,9.2336,9.8471,9.6987,9.9396,9.2479,9.5488,9.8408,9.9586,9.7781,8.6439,8.7347,9.4388,9.4533,9.7313,10.6348,10.5962,9.3465,9.8376,9.8994,9.5962,9.8202,9.6165,9.9687,9.8887,10.4263,9.9174,9.5078,9.783,10.9181,9.9248,10.3815,9.2923,8.96,11.6389,9.4305,9.5255,10.2912
211889,12.5008,13.0107,14.8271,14.6106,13.7588,14.1334,14.3997,15.4102,13.8077,16.4607,15.1233,15.7174,15.1899,14.4337,14.0197,12.4265,14.6777,14.1698,13.0184,12.6466,12.7004,14.7425,14.22,13.9659,16.0205,16.0972,16.5031,15.9314,15.4076,16.4992,16.3047,14.4012,13.6532,16.394,13.471,14.2456,14.3706,14.1492,14.2427,12.1215,14.3329,12.3117,14.0011,15.3941,16.1266,15.0001,16.6865,16.4959,17.2297,12.5981,14.4132,15.5537,15.0585,15.1171,14.5332,13.8139,15.4743,14.3499,14.3926,14.8692,14.8906,14.9351,13.813,14.8,15.1135,14.0913,14.3031,13.8226,14.2623,12.3542,12.6416,11.4883,12.8361,13.7663,12.8508,13.2815,14.1057,14.2726,12.9244,13.9202,14.0684,14.1616,14.7491,13.9837,13.9784,14.5664,13.4531,14.2858,14.0401,16.2269,14.3111,14.0104,13.5539,14.2977,12.8476,12.535,13.7303,14.5546,13.3049,13.9699,14.1473,11.6913,15.3907,13.5582,17.0768,13.8257,13.4717,13.2248,14.0522,12.8467,13.1614,13.4188,13.8348,12.6687,12.9146,11.1768,15.1102,16.4466,11.2544,12.6149,13.2716,7.96,13.635,12.4181,12.1932
