rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_3724	140000	127000	124000	131000	129000	116000	143000	13600	116000	120000	227000	125000	129000	116000	114000	129000	110000	114000	115000	115000	154000	144000	162000	141000	156000	23200	137000	140000
met_3727	64700	18800	68500	115000	16600	104000	20700	47700	3240	10700	87800	51600	55700	53000	66300	52800	69700	38900	95000	38900	148000	2840	3070	2770	3230	51300	53900	105000
met_3753	131000	19900	125000	111000	29400	110000	33000	49200	10200	3450	164000	68300	72500	92600	33100	85800	92800	134000	105000	63000	113000	18800	11600	5350	4000	86200	93500	108000
met_3755	136000	112000	100000	117000	108000	121000	102000	3770	113000	115000	145000	122000	110000	111000	10100	109000	105000	120000	98100	108000	111000	122000	118000	124000	124000	105000	113000	104000
met_3759	69400	94900	49100	24700	65300	138000	77100	393000	23300	95500	107000	12400	23700	56700	47700	106000	50400	37100	47600	57300	107000	144000	84300	0	3920	9780	20800	54500
met_376	275000	303000	262000	560000	428000	271000	257000	237000	240000	265000	338000	940000	604000	238000	307000	284000	244000	259000	241000	254000	269000	281000	299000	280000	294000	260000	290000	296000
met_3774	47200	12600	42700	78100	15200	68500	18000	33500	4250	4230	61800	34000	35000	35200	42000	32100	51500	29100	72400	27100	96200	8430	3670	5730	3440	40000	37200	70700
met_3799	34800	3270	18900	52200	10200	36000	10300	27100	0	0	81100	23100	14600	44200	56800	21200	35200	16000	33000	18400	82800	0	0	0	0	24800	28200	21900
met_3806	78100	79000	71800	75900	72100	67200	70700	81400	70900	66800	86500	64400	67900	71000	64500	68000	65800	62700	73300	66100	80000	85800	97900	84900	79700	77200	77200	78100
met_3814	83600	75600	69600	64200	63600	66300	62900	64500	57500	66500	81300	60300	60700	66300	41400	63600	53500	58400	64000	54600	77300	89900	92500	83400	75000	79500	76400	75100
met_3818	66800	66500	69300	62800	65600	57900	69000	67200	67100	59300	74900	67200	60600	59000	56500	64800	67000	60500	57700	56000	76000	79600	87900	77100	76700	77800	66700	80000
met_3819	62900	60400	69600	65000	65600	75600	82800	87700	62800	58400	105000	52700	65600	54000	77700	61100	50900	54700	56400	57300	75800	84000	97000	71100	79100	82600	65700	74600
met_3820	76200	70500	76300	68700	73200	68700	69300	74400	62600	73400	79100	67800	64700	69800	64500	69900	62600	59900	66900	63200	75700	81200	90400	89500	81700	80800	71100	75000
met_3835	84700	74900	69000	63300	64100	74700	74400	69600	70200	69600	73500	73900	66400	68700	72100	68600	59000	60000	62900	63100	72600	91500	90400	84600	79100	78700	72500	78500
met_3844	65800	65200	57600	65800	64500	61800	60900	67100	60900	54300	69800	59200	59100	60900	54300	59400	55600	52400	55900	53800	69900	77800	71100	72000	71200	72500	64200	63900
met_3855	82200	85700	74900	77400	71200	74900	62400	34700	75100	66600	77800	86800	72000	87000	81100	78300	73200	68600	66100	60800	67400	68400	68000	82100	80000	82800	76100	85200
met_3886	62700	63700	59500	60000	56500	60600	59600	80600	66700	61100	99400	62600	57200	64100	49300	55000	55100	47800	49300	51800	62000	83100	70600	61300	68200	76800	63600	67500
met_3890	56900	31900	54800	57600	26400	87600	30000	20600	15500	19900	52900	36500	47700	38900	51800	46400	37800	32800	62900	21400	61500	14300	9280	14900	16600	59000	52600	41300
met_3900	46600	51800	44100	43200	45600	45000	44300	56100	43100	43700	101000	45300	43600	38100	43500	40100	37200	37900	36400	38800	60400	63000	60100	58700	54000	52500	46600	52800
met_3905	302000	203000	634000	784000	451000	1520000	350000	833000	0	1800	124000	200000	589000	964000	426000	235000	189000	183000	274000	206000	59900	0	0	0	0	385000	599000	555000
met_3927	53900	52600	58500	50000	51800	45200	50400	48000	45200	42300	63400	47700	47300	46300	48100	46400	44400	44200	40800	46300	58000	53000	61700	55400	59500	57800	51400	52200
met_3928	44400	40200	38300	45400	41600	35300	40400	40800	35300	33200	70000	39400	34500	35300	31900	35300	31900	31900	30000	38600	58000	49800	46400	45500	44200	41500	44000	40800
met_3932	61500	58200	46900	60000	47700	60700	56800	58300	51100	53200	105000	50600	54100	45100	64600	62900	40400	43000	42100	42800	57700	65700	61600	50100	61400	69300	54900	58300
met_3971	69800	43200	110000	279000	64600	558000	48500	323000	0	0	150000	35200	96700	91600	161000	44700	26900	37000	42400	37200	55400	0	0	0	0	122000	87500	89100
